Address,Price,Sold_Year
SEBASTOPOL VIC 3356,"$580,000 ",Sold by private treaty 23 Nov 2022
SEDGWICK VIC 3551,"$510,000 ",Sold by private treaty 23 Nov 2022
SHEPPARTON VIC 3630,"$376,107 ",Sold by private treaty 23 Nov 2022
SOUTHBANK VIC 3006,"$600,000 ",Sold by private treaty 23 Nov 2022
SOUTHBANK VIC 3006,"$441,000 ",Sold by private treaty 23 Nov 2022
STANLEY VIC 3747,"$940,000 ",Sold by private treaty 23 Nov 2022
SUNBURY VIC 3429,"$740,000 ",Sold by private treaty 23 Nov 2022
SUNBURY VIC 3429,"$670,000 ",Sold by private treaty 23 Nov 2022
SUNBURY VIC 3429,"$1,100,000 ",Sold by private treaty 23 Nov 2022
SUNBURY VIC 3429,"$602,000 ",Sold by private treaty 23 Nov 2022
SUNSHINE NORTH VIC 3020,"$785,000 ",Sold prior to auction 23 Nov 2022
SUNSHINE WEST VIC 3020,"$705,000 ",Sold by private treaty 23 Nov 2022
SUNSHINE WEST VIC 3020,"$755,000 ",Sold prior to auction 23 Nov 2022
TARNEIT VIC 3029,"$945,000 ",Sold by private treaty 23 Nov 2022
TAYLORS LAKES VIC 3038,"$855,000 ",Sold by private treaty 23 Nov 2022
TRARALGON VIC 3844,"$995,000 ",Sold by private treaty 23 Nov 2022
TRUGANINA VIC 3029,"$740,000 ",Sold by private treaty 23 Nov 2022
WANGARATTA VIC 3677,"$520,000 ",Sold by private treaty 23 Nov 2022
WARRAGUL VIC 3820,"$435,000 ",Sold by private treaty 23 Nov 2022
WARRANDYTE VIC 3113,"$1,700,000 ",Sold by private treaty 23 Nov 2022
WENDOUREE VIC 3355,"$510,000 ",Sold by private treaty 23 Nov 2022
WERRIBEE VIC 3030,"$470,000 ",Sold by private treaty 23 Nov 2022
WEST FOOTSCRAY VIC 3012,"$687,000 ",Sold prior to auction 23 Nov 2022
WILLIAMS LANDING VIC 3027,"$627,500 ",Sold by private treaty 23 Nov 2022
WILLIAMSTOWN VIC 3016,"$2,930,000 ",Sold at auction 23 Nov 2022
WOLLERT VIC 3750,"$795,000 ",Sold by private treaty 23 Nov 2022
WONTHAGGI VIC 3995,"$480,000 ",Sold by private treaty 23 Nov 2022
